keys,en
APP_NAME,"SCANIMA"
NAV_HOME,"Home"
NAV_SCAN,"Scan"
NAV_COLLECTION,"Collection"
NAV_ANIMA,"Anima"
RESOURCE_ANIMAS,"Animas"
RESOURCE_CORES,"Cores"
RESOURCE_BITS,"Bits"
CORE_INFO_TITLE,"Genesis Cores"
CORE_INFO_BODY,"Genesis Cores awaken species that have never been discovered before. One Core is used only for a brand-new species. Known species and evolutions do not use Cores."
CORE_INFO_CLOSE,"Got It"
ANIMA_FALLBACK_NAME,"Anima"
HOME_LOADING_NAME,"Preparing your habitat"
HOME_LOADING_META,"Connecting your account and collection…"
HOME_ERROR_NAME,"Your habitat is offline"
HOME_ERROR_META,"Your collection could not be loaded. Check your connection and try again."
HOME_EMPTY_NAME,"Awaken Your First Anima"
HOME_EMPTY_META,"Photograph an everyday object and bring its hidden companion to life."
HOME_EMPTY_CTA,"Scan Your First Object"
HOME_IDENTITY_META,"%s · %s"
HOME_NEEDS_TITLE,"Needs"
HOME_RELATIONSHIP_TITLE,"Bond"
HOME_CARE_SCORE,"Care Score %s"
HOME_CARE_SUMMARY,"%s · %s"
CARE_HUNGER,"Hunger"
CARE_ENERGY,"Energy"
CARE_HYGIENE,"Hygiene"
CARE_BOND,"Bond"
CARE_FEED,"Feed"
CARE_CLEAN,"Clean"
CARE_SLEEP,"Sleep"
CARE_WAKE,"Wake"
CARE_PLAY,"Play"
CARE_STATE_ACTIVE,"Active"
CARE_STATE_SLEEPING,"Sleeping"
CARE_STATE_DORMANT,"Dormant"
CARE_COST_BITS,"%s Bits"
CARE_COST_ENERGY,"%s Energy"
FEEDBACK_FEED,"Hunger restored · Bits -5"
FEEDBACK_CLEAN,"Hygiene restored · Bits -5"
FEEDBACK_PLAY,"Bond increased · Energy -5"
FEEDBACK_SLEEP,"Sleep started · Full energy in 6 hours"
FEEDBACK_WAKE,"Awake and refreshed"
FEEDBACK_SYNCED,"Care updated"
ERROR_CARE_PENDING,"Your previous care action is still being confirmed."
ERROR_CARE_SYNC,"Your Anima's condition could not be refreshed."
ERROR_NO_BITS,"Not enough Bits. Feeding and cleaning cost 5 Bits."
ERROR_NO_ENERGY,"Your Anima needs more energy to play."
ERROR_BOND_FULL,"Your Bond is already full."
ERROR_NEED_FULL,"That need is already full."
ERROR_ALREADY_SLEEPING,"Your Anima is already sleeping."
ERROR_NOT_SLEEPING,"Your Anima is already awake."
ERROR_ANIMA_NOT_READY,"This Anima is not ready for care yet."
ERROR_ANIMA_NOT_FOUND,"This Anima could not be found."
ERROR_CARE_GENERIC,"Care could not be completed. Please try again."
SCAN_TITLE,"Discover a New Anima"
SCAN_SUBTITLE,"Bring one real-world object to life as a new Anima."
SCAN_PRIMARY_ACTION,"Scan Real Object"
SCAN_CAMERA_HINT,"Choose one clear object and keep it centered in the frame."
SCAN_PRIVACY_HINT,"Your photo is removed after your Anima is created."
SCAN_PREVIEW_LABEL,"Object Preview"
SCAN_NEW_DISCOVERY,"New Discovery"
SCAN_CACHE_DISCOVERY,"Known Species"
SCAN_PHASE_ANALYZE,"Analyzing object"
SCAN_PHASE_SYNTHESIZE,"Anima Synthesis"
SCAN_PHASE_ANALYZE_HINT,"This usually takes around 15 seconds."
SCAN_PHASE_SYNTHESIZE_HINT,"A new species usually takes about one minute."
COLLECTION_TITLE,"Anima Collection"
COLLECTION_SUBTITLE,"Every object can become a new Anima."
COLLECTION_EMPTY,"Your collection is empty. Scan an object to discover your first Anima."
COLLECTION_COUNT,"%s discovered"
COLLECTION_ITEM_META,"%s · %s"
COLLECTION_ITEM_TOOLTIP,"%s · Rarity %s/5"
COLLECTION_START_SCAN,"Start First Scan"
COLLECTION_SHEET_META,"%s · %s · Rarity %s/5"
COLLECTION_ACTIVE,"Active Companion"
COLLECTION_BASE_STATS,"Base Stats"
COLLECTION_CONDITION,"Condition"
COLLECTION_CONDITION_LOADING,"Syncing condition…"
COLLECTION_CONDITION_ERROR,"Sync failed · latest known values"
COLLECTION_VIEW_PROFILE,"View Profile"
COLLECTION_SUMMON,"Summon"
COLLECTION_SUMMONED,"Summoned"
COLLECTION_SUMMON_SUCCESS,"%s answered your summon."
DETAILS_TITLE,"Anima Profile"
DETAILS_SUBTITLE,"Identity, attributes, and care history"
DETAILS_NO_ANIMA,"Choose an Anima from your collection to view its profile."
DETAILS_ATTRIBUTES,"Attributes"
DETAILS_TRAITS,"Traits"
DETAILS_ELEMENT,"Element"
DETAILS_RARITY,"Rarity"
DETAILS_STAGE,"Stage"
DETAILS_CARE_SCORE,"Care Score"
ANIMA_DELETE_ACTION,"Delete Anima"
ANIMA_DELETE_TITLE,"Delete Anima?"
ANIMA_DELETE_CONFIRM,"Delete %s permanently? This cannot be undone, and no Genesis Cores or Bits will be refunded."
ANIMA_DELETE_CONFIRM_ACTION,"Delete Permanently"
ANIMA_DELETE_SUCCESS,"%s was deleted."
ANIMA_DELETE_ERROR,"This Anima could not be deleted. Please try again."
ANIMA_RENAME_ACTION,"Edit name"
ANIMA_RENAME_TITLE,"Name Your Anima"
ANIMA_RENAME_PROMPT,"Keep this generated name or choose your own."
ANIMA_RENAME_PLACEHOLDER,"Enter an Anima name"
ANIMA_RENAME_SAVE,"Save Name"
ANIMA_RENAME_SKIP,"Keep Generated Name"
ANIMA_RENAME_SUCCESS,"%s has a new name."
ANIMA_RENAME_ERROR,"That name could not be saved. Please try again."
ANIMA_RENAME_EMPTY,"Enter at least one character, or keep the generated name."
ACTION_CANCEL,"Cancel"
ACTION_RETRY,"Retry"
STAT_HP,"Health"
STAT_ATK,"Attack"
STAT_DEF,"Defense"
STAT_SPD,"Speed"
STAT_SPECIAL,"Special"
STAGE_1,"Baby"
STAGE_2,"Adult"
STAGE_3,"Perfect"
ELEMENT_METAL,"Metal"
ELEMENT_PLANT,"Plant"
ELEMENT_SPARK,"Spark"
ELEMENT_FLOW,"Flow"
ELEMENT_STONE,"Stone"
ELEMENT_CLOTH,"Cloth"
ELEMENT_UNKNOWN,"Unknown"
VALUE_UNAVAILABLE,"—"
GATE_HUMAN_FACE,"a person's face was detected"
GATE_LIVE_ANIMAL,"a living animal was detected"
GATE_UNSAFE_CONTENT,"the image may be unsafe"
GATE_PERSONAL_INFO,"personal information was detected"
GATE_TOO_UNCLEAR,"the object is not clear enough"
GATE_NO_OBJECT,"no usable object was detected"
GATE_UNKNOWN,"the object could not be validated"
STATUS_INITIALIZING,"Preparing your habitat…"
STATUS_LOADING_COLLECTION,"Refreshing your collection…"
STATUS_ACCOUNT_ERROR,"We couldn't connect to your account. Check your connection and try again."
STATUS_RESUMING_CARE,"Finishing a pending care action…"
STATUS_RESUMING_SCAN,"Reconnecting to your unfinished scan…"
STATUS_ROSTER_ERROR,"Your collection could not be loaded. Open Collection to try again."
STATUS_ROSTER_WAITING,"%s is waiting for you."
STATUS_FIRST_SCAN,"Scan an object around you to awaken your first Anima."
STATUS_SCAN_READY,"Ready to discover something new."
STATUS_CAMERA_READ_ERROR,"That photo could not be read. Please try again."
